,Name,Address,Phone Numbers,Year Born,Home Status,Speeding Tickets,Children,Annual Income,Email
0,Chloe Peterson,"3495 Oak Ave, Spring Valley, Nevada",8862469286,1978,Rent,1,3,$186003,chloepeterso738@gmail.com
1,Avery Kelly,"22915 Oak Place, Apt 2235, Paradise, Nevada",9937257128,1941,Own,1,0,$237595,aver_kell22@yahoo.com
2,Miles Hill,"15693 Ninth Blvd., Spring Valley, Nevada",5692580299,1958,Rent,1,3,$177008,miles-hil623@outlook.com
3,Julian Myers,"6777 Ninth Blvd., East Los Angeles, California",7927172384,1956,Rent,0,0,$34547,julia.myers205@yahoo.com
4,Emilia Roberts,"20736 Oak Blvd., Apt 8612, Paradise, Nevada",7925064799,2003,Rent,2,0,$177055,emiliaroberts714@outlook.com
5,Penelope Kelly,"20385 Third Blvd., Apt 9869, Metairie, Louisiana",8645360519,1969,Rent,1,4,$213927,penelop.kell894@gmail.com
6,Layla Thompson,"14195 Fourth Dr., Apt 48, East Los Angeles, California",3142162523,2003,Rent,0,3,$36397,layl_thompson510@protonmail.com
7,Aiden Reed,"27465 Fifth St., Brandon, Florida",7703844872,2000,Rent,1,0,$72531,aide_reed212@gmail.com
8,Mason Baker,"11017 Third Ln., Apt 9005, Metairie, Louisiana",3801122443,1997,Rent,0,0,$189706,mason-bake438@protonmail.com
9,Isaac Allen,"30178 Seventh Blvd., Spring Valley, Nevada",3742588735,1999,Rent,1,0,$241604,isaa_allen574@aol.com
10,Ethan Edwards,"18036 Ninth Blvd., Apt 8862, Enterprise, Nevada",9993526681,1971,Own,0,0,$108724,etha_edward197@protonmail.com
11,Ethan Hernandez,"15286 Fifth Place, Arlington, Virginia",8891716428,1942,Own,0,0,$218586,ethanhernandez647@hotmail.com
12,Penelope King,"1878 Seventh Ln., Enterprise, Nevada",3580279019,2004,N/A,0,0,$240577,penelope-king904@protonmail.com
13,Carson Price,"4857 Second Ave, East Los Angeles, California",5620848779,1947,Own,0,0,$121668,carsonpric850@aol.com
14,Emma Ross,"723 Fifth Place, Spring Valley, Nevada",3524666923,1967,Own,0,2,$181151,emm-ros712@aol.com
15,Jayden Roberts,"20807 Fourth Place, Brandon, Florida",7197303934,2001,Own,0,0,$222234,jaydenrobert603@yahoo.com
16,Hannah Davis,"12454 Eighth St., Paradise, Nevada",2560721326,1977,Own,0,0,$220961,hanna_davi823@yahoo.com
17,Colton James,"8974 First Blvd., Paradise, Nevada",8312497238,1968,Rent,0,0,$145566,colto-jame238@yahoo.com
18,Jayden Rogers,"32107 Fourth Ave, Paradise, Nevada",5564613561,2010,N/A,0,0,0,jayde_roger863@protonmail.com
19,Scarlett Turner,"22444 Sixth Place, Metairie, Louisiana",8549867892,1922,Own,1,0,$42400,scarlettturne569@aol.com
20,Maverick James,"30025 Third St., Sunrise Manor, Nevada",2404327922,1938,Rent,0,0,$64337,maveric_jame192@gmail.com
21,Jacob Perry,"29607 Cedar St., Apt 1676, Arlington, Virginia",7636765830,1967,Rent,0,0,$145983,jacob.perr956@protonmail.com
22,Lucas Watson,"25344 Fifth St., Arlington, Virginia",8730411550,1963,Rent,0,0,$121172,luca_watso393@protonmail.com
23,Madison Hernandez,"32541 Fourth Ln., East Los Angeles, California",9166470448,1964,Rent,0,2,$123064,madiso.hernande752@hotmail.com
24,Aria Gray,"25908 Ninth Ave, Paradise, Nevada",8938372402,1989,Rent,0,0,$117653,arigray119@gmail.com
25,Asher Phillips,"5348 Park Ln., Apt 6932, Brandon, Florida",2544183040,1993,Rent,0,0,$216392,ashe_phillip599@gmail.com
26,Oliver Smith,"31053 Ninth Place, Paradise, Nevada",4373497034,1982,Rent,0,0,$238269,olive_smit35@gmail.com
27,Daniel Walker,"19515 Tenth Dr., Arlington, Virginia",9277122601,1996,Rent,0,0,$57828,daniel_walker220@hotmail.com
28,Aubrey Baker,"28032 Park Ln., Arlington, Virginia",6105119061,1994,Rent,0,0,$29789,aubre-baker115@aol.com
29,Jack Bailey,"362 Fourth Place, Apt 9887, Spring Valley, Nevada",9054798972,1922,Own,0,3,$247358,jackbaile550@aol.com
30,Ella Long,"20198 Oak Ave, Sunrise Manor, Nevada",2222780692,1936,Rent,0,0,$179661,ella_lon893@hotmail.com
31,Ariana Turner,"24030 Ninth Blvd., Apt 9478, Paradise, Nevada",9603907461,1931,Rent,0,0,$197069,arianaturner186@protonmail.com
32,James Phillips,"12924 Cedar Dr., Sunrise Manor, Nevada",3123091379,2016,N/A,0,0,0,james-phillips244@outlook.com
33,Paisley Rogers,"26716 Park Ln., Apt 3523, Sunrise Manor, Nevada",4677979073,1924,Rent,0,0,$223064,paisle_rogers785@gmail.com
34,Ellie Powell,"27957 Second Place, Apt 5540, Metairie, Louisiana",5468124870,1976,Own,0,0,$215633,ellipowel304@aol.com
35,Kinsley Garcia,"11950 Seventh Dr., Metairie, Louisiana",8053629941,1955,Own,0,0,$172727,kinsle_garci728@outlook.com
36,Emily Stewart,"29968 First Blvd., Apt 4501, Metairie, Louisiana",9502550986,1933,Own,0,0,$183426,emil_stewart401@gmail.com
37,Everly Anderson,"1713 Eighth Place, Metairie, Louisiana",5147200653,1942,Own,0,0,$171114,everlyanderson151@yahoo.com
38,Liam James,"24989 Second Ave, Brandon, Florida",9736983489,1967,Rent,0,0,$237750,liamjames585@outlook.com
39,Gabriel Bennett,"31904 Second Dr., Brandon, Florida",5660069731,1989,Rent,0,3,$169092,gabrielbennet741@hotmail.com
